code,frac_bas,exceso_hasta,imp_frac_bas,porc_imp_frac_exc
201901,0,11310,0,0
201902,11310,14410,0,5
201903,14410,18010,155,10
201904,18010,21630,515,12
201905,21630,43250,949,15
201906,43250,64860,4193,20
201907,64860,86480,8513,25
201908,86480,115290,13920,30
201909,115290,999999999,22563,35
