id,name
arrocesa_bancos_001,BANCO PICHINCHA
arrocesa_bancos_002,PRODUBANCO
arrocesa_bancos_003,BANCO DEL PACIFICO
arrocesa_bancos_004,BANCO GUAYAQUIL
arrocesa_bancos_005,JEP
